Pupil's Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Jeni Donald,6/7/2013,6/7/2021,June,Monday,11
Sylvia Abrahamsohn,11/15/2012,11/15/2021,November,Monday,12
Cinnamon Stoyle,1/16/2012,1/16/2021,January,Friday,41
Issi Amey,10/20/2012,10/20/2021,October,Wednesday,14
Brion Letson,12/7/2012,12/7/2021,December,Tuesday,9
Nappie Sire,11/10/2011,11/10/2021,November,Wednesday,13
Pattie Chapelle,12/19/2011,12/19/2021,December,Friday,51
Brynna Armit,8/12/2012,8/12/2021,August,Thursday,9
Gauthier Bruinsma,9/23/2013,9/23/2021,September,Thursday,14
Pren Gudgeon,9/24/2013,9/24/2021,September,Friday,29
Wyn Husthwaite,5/11/2014,5/11/2021,May,Tuesday,8
Allianora Padrick,12/7/2011,12/7/2021,December,Tuesday,9
Malena Bennough,4/20/2013,4/20/2021,April,Tuesday,12
Jarret Winscom,3/5/2013,3/5/2021,March,Friday,28
Ree Salmen,11/14/2013,11/14/2021,November,Friday,38
Hope Dommerque,9/13/2014,9/13/2021,September,Monday,12
Guillermo Trowle,6/24/2013,6/24/2021,June,Thursday,10
Tibold Cottingham,9/3/2013,9/3/2021,September,Friday,29
Cecilia Poxton,12/20/2013,12/20/2021,December,Monday,8
Arri Sleney,11/23/2013,11/23/2021,November,Tuesday,17
Regina Isenor,10/16/2011,10/16/2021,October,Friday,35
Annalise Roll,7/4/2012,7/4/2021,July,Friday,46
Othello Blyth,7/19/2014,7/19/2021,July,Monday,12
Ave Heyball,5/1/2012,5/1/2021,May,Friday,32
Friederike Civitillo,6/24/2015,6/24/2021,June,Thursday,10
Hayley Rizzini,4/26/2014,4/26/2021,April,Monday,4
Blakelee Monery,12/4/2013,12/4/2021,December,Friday,51
Jacenta Cowton,6/18/2013,6/18/2021,June,Friday,29
Karlyn Westmoreland,6/10/2015,6/10/2021,June,Thursday,10
Yancey Bachellier,2/1/2015,2/1/2021,February,Monday,13
Nerte Lissandrini,12/9/2011,12/9/2021,December,Thursday,14
Dorolice Crosthwaite,1/6/2015,1/6/2021,January,Wednesday,6
Brantley Thorley,3/2/2012,3/2/2021,March,Tuesday,6
Robin Cypler,1/31/2015,1/31/2021,January,Friday,41
Phillie Allsepp,6/29/2012,6/29/2021,June,Tuesday,15
Toddie Artz,7/9/2013,7/9/2021,July,Friday,46
Marje Antoshin,12/26/2014,12/26/2021,December,Friday,51
Rochella Blazdell,3/31/2015,3/31/2021,March,Wednesday,19
Aryn Thursfield,2/25/2015,2/25/2021,February,Thursday,7
Isaiah Antowski,1/12/2014,1/12/2021,January,Tuesday,14
Helli Owbridge,8/5/2014,8/5/2021,August,Thursday,9
Hadrian Scourgie,3/20/2012,3/20/2021,March,Friday,28
Toddie Nanetti,10/4/2013,10/4/2021,October,Monday,9
Inger Sugar,11/25/2011,11/25/2021,November,Thursday,12
Lezlie Meyer,3/19/2015,3/19/2021,March,Friday,28
Rowland Krinks,12/22/2014,12/22/2021,December,Wednesday,20
Fair Baumber,9/13/2011,9/13/2021,September,Monday,12
Ekaterina Graver,10/17/2013,10/17/2021,October,Friday,35
Farris Spear,3/3/2014,3/3/2021,March,Wednesday,19
Shanie Croisier,2/9/2014,2/9/2021,February,Tuesday,8
Fredric Skerme,3/12/2012,3/12/2021,March,Friday,28
Christoph Udall,10/15/2011,10/15/2021,October,Friday,35
Jared Koba,1/15/2012,1/15/2021,January,Friday,41
Lucina Gouley,2/16/2014,2/16/2021,February,Tuesday,8
Milka Fosbraey,10/30/2011,10/30/2021,October,Friday,35
Iseabal Aldwinckle,3/8/2013,3/8/2021,March,Monday,13
Colet Featherstonehaugh,7/7/2012,7/7/2021,July,Wednesday,12
Jewelle Skaif,1/19/2015,1/19/2021,January,Tuesday,14
Brose Plumridge,12/30/2012,12/30/2021,December,Thursday,14
Dotty Oldknow,12/22/2013,12/22/2021,December,Wednesday,20
Stacy Conneely,10/13/2013,10/13/2021,October,Wednesday,14
Iona Ballister,6/20/2014,6/20/2021,June,Friday,29
Windy Curgenuer,10/28/2013,10/28/2021,October,Thursday,11
Kienan Echalie,12/19/2014,12/19/2021,December,Friday,51
Nollie Curley,11/29/2013,11/29/2021,November,Monday,12
Joelle McGrory,6/23/2012,6/23/2021,June,Wednesday,12
Pooh Schmidt,6/5/2012,6/5/2021,June,Friday,29
Coral Phelipeaux,1/4/2012,1/4/2021,January,Monday,12
Gifford McKeachie,11/21/2014,11/21/2021,November,Friday,38
Orelee Videan,10/5/2013,10/5/2021,October,Tuesday,13
Toiboid Scamerden,11/5/2013,11/5/2021,November,Friday,38
Shirline Longstaff,7/13/2013,7/13/2021,July,Tuesday,19
Hurley D'Alessandro,1/16/2014,1/16/2021,January,Friday,41
Orelia Di Domenico,11/7/2014,11/7/2021,November,Friday,38
Glynda O'Corrin,2/14/2013,2/14/2021,February,Friday,36
Bailie Caraher,10/5/2013,10/5/2021,October,Tuesday,13
Elizabeth Pattenden,6/7/2013,6/7/2021,June,Monday,11
Florian Lardnar,8/4/2014,8/4/2021,August,Wednesday,10
Chantal Caherny,11/20/2012,11/20/2021,November,Friday,38
Sasha McMenamin,4/23/2012,4/23/2021,April,Friday,44
Ivar Verbeek,12/26/2011,12/26/2021,December,Friday,51
Jamaal Challicombe,4/2/2013,4/2/2021,April,Friday,44
Cello Milnes,3/8/2013,3/8/2021,March,Monday,13
Leese Leinster,11/5/2012,11/5/2021,November,Friday,38
Aleece Bernardet,1/9/2015,1/9/2021,January,Friday,41
Archibaldo Penwell,7/15/2012,7/15/2021,July,Thursday,14
Berkly Dodding,10/14/2014,10/14/2021,October,Thursday,11
Ynez Stive,5/18/2015,5/18/2021,May,Tuesday,8
Francene Ebbin,9/16/2012,9/16/2021,September,Thursday,14
Ilise Bowring,11/12/2011,11/12/2021,November,Friday,38
Clo Knoton,4/25/2014,4/25/2021,April,Friday,44
Guthrie Valti,5/6/2014,5/6/2021,May,Thursday,6
Stacey Whartonby,2/5/2013,2/5/2021,February,Friday,36
Ernesta Siggers,7/4/2015,7/4/2021,July,Friday,46
Denice Espinet,5/5/2013,5/5/2021,May,Wednesday,12
Antin Luesley,4/17/2012,4/17/2021,April,Friday,44
Alon Brash,9/23/2011,9/23/2021,September,Thursday,14
Harlen Penke,8/4/2014,8/4/2021,August,Wednesday,10
Pyotr Anten,1/6/2012,1/6/2021,January,Wednesday,6
Sean Skelton,10/3/2011,10/3/2021,October,Friday,35
Cary Johanssen,7/19/2013,7/19/2021,July,Monday,12
Yuri Keywood,11/10/2013,11/10/2021,November,Wednesday,13
Ronnie Narducci,2/1/2015,2/1/2021,February,Monday,13
Chucho Longmore,4/15/2013,4/15/2021,April,Thursday,21
Caleb Kupka,3/15/2014,3/15/2021,March,Monday,13
Robbin Harmant,1/10/2015,1/10/2021,January,Friday,41
Gaylor Shotboult,2/3/2014,2/3/2021,February,Wednesday,12
Lamont Tolefree,8/17/2012,8/17/2021,August,Tuesday,10
Wood Upjohn,6/7/2012,6/7/2021,June,Monday,11
Brady Seeds,8/15/2012,8/15/2021,August,Friday,27
Selma Litherborough,3/20/2014,3/20/2021,March,Friday,28
Carly Peasee,7/5/2014,7/5/2021,July,Monday,12
Rose Artinstall,5/29/2014,5/29/2021,May,Friday,32
Hi Oleksiak,6/6/2013,6/6/2021,June,Friday,29
Berti Smardon,3/26/2014,3/26/2021,March,Friday,28
Lorraine Halbard,7/20/2013,7/20/2021,July,Tuesday,19
Aldis Sherewood,8/21/2013,8/21/2021,August,Friday,27
Rabbi McGourty,6/16/2013,6/16/2021,June,Wednesday,12
Julietta Layson,5/20/2014,5/20/2021,May,Thursday,6
Graehme Ditch,4/7/2015,4/7/2021,April,Wednesday,11
Benetta Zanussii,7/30/2012,7/30/2021,July,Friday,46
Pandora Seelbach,5/20/2014,5/20/2021,May,Thursday,6
Hatty Crotty,9/22/2013,9/22/2021,September,Wednesday,14
Tessa Pogue,6/23/2015,6/23/2021,June,Wednesday,12
Grantley Doogan,7/2/2014,7/2/2021,July,Friday,46
Sunny Lanning,12/28/2014,12/28/2021,December,Tuesday,9
L;urette Applegarth,9/10/2012,9/10/2021,September,Friday,29
Wendy Oscroft,1/3/2015,1/3/2021,January,Friday,41
Ev Baldack,4/23/2015,4/23/2021,April,Friday,44
Jania Pesek,4/8/2012,4/8/2021,April,Thursday,21
Kelley Shenton,12/31/2012,12/31/2021,December,Friday,51
Doralynne Sekulla,3/14/2015,3/14/2021,March,Friday,28
Price Harrald,3/30/2013,3/30/2021,March,Tuesday,6
Allen Welburn,11/5/2014,11/5/2021,November,Friday,38
Merwin Doag,4/29/2015,4/29/2021,April,Thursday,21
Jeannette Symonds,10/23/2012,10/23/2021,October,Friday,35
Valaree Heckner,4/30/2012,4/30/2021,April,Friday,44
Gussie Palmar,5/21/2014,5/21/2021,May,Friday,32
Yehudi Beggan,10/19/2013,10/19/2021,October,Tuesday,13
Drusilla Tuson,10/14/2014,10/14/2021,October,Thursday,11
Alanah Dowtry,8/25/2014,8/25/2021,August,Wednesday,10
Kathlin Cobleigh,2/26/2015,2/26/2021,February,Friday,36
Layne Curston,12/29/2013,12/29/2021,December,Wednesday,20
Idell Shropshire,5/2/2015,5/2/2021,May,Friday,32
Kimbra Whelan,10/25/2013,10/25/2021,October,Monday,9
Nadean Godsell,2/27/2013,2/27/2021,February,Friday,36
Katinka Liger,1/25/2013,1/25/2021,January,Monday,12
Fallon Kettles,6/24/2013,6/24/2021,June,Thursday,10
Tally Powland,7/2/2015,7/2/2021,July,Friday,46
Nolan Jerosch,10/31/2014,10/31/2021,October,Friday,35
Viva Yukhnini,12/4/2011,12/4/2021,December,Friday,51
Nevile Jurewicz,3/25/2014,3/25/2021,March,Thursday,11
Brand Kaes,3/24/2014,3/24/2021,March,Wednesday,19
Celine De la Yglesia,1/13/2012,1/13/2021,January,Wednesday,6
Adrian Snary,7/22/2013,7/22/2021,July,Thursday,14
Anny Casterot,1/26/2015,1/26/2021,January,Tuesday,14
Jacques Cosins,2/1/2012,2/1/2021,February,Monday,13
Lauretta Greenhalf,9/8/2013,9/8/2021,September,Wednesday,14
Ettie Condie,10/23/2012,10/23/2021,October,Friday,35
Tailor Fellows,7/26/2012,7/26/2021,July,Monday,12
Iago Szimon,8/31/2014,8/31/2021,August,Tuesday,10
Howard Kittow,4/9/2014,4/9/2021,April,Friday,44
Smith Okenden,12/31/2012,12/31/2021,December,Friday,51
West Kibby,11/20/2013,11/20/2021,November,Friday,38
Perren Randalston,9/3/2013,9/3/2021,September,Friday,29
Garnette Chiese,3/28/2014,3/28/2021,March,Friday,28
Mace Huntingdon,5/17/2012,5/17/2021,May,Monday,15
Konstantine Parysowna,6/1/2015,6/1/2021,June,Tuesday,15
Cristina Oseman,3/28/2012,3/28/2021,March,Friday,28
Finley McClements,8/18/2013,8/18/2021,August,Wednesday,10
Vic Barends,9/24/2014,9/24/2021,September,Friday,29
Bartholomew Coyle,10/14/2011,10/14/2021,October,Thursday,11
Krystal Dunlea,5/29/2012,5/29/2021,May,Friday,32
Mireielle Lundy,7/19/2014,7/19/2021,July,Monday,12
Sharla Almond,11/16/2011,11/16/2021,November,Tuesday,17
Sibeal Templeton,7/22/2012,7/22/2021,July,Thursday,14
Pearce Clayworth,3/19/2012,3/19/2021,March,Friday,28
Sheelah Greder,11/29/2012,11/29/2021,November,Monday,12
Joly Wybrow,1/8/2015,1/8/2021,January,Friday,41
Bondon Antonazzi,2/9/2012,2/9/2021,February,Tuesday,8
Gwen Biglin,1/18/2012,1/18/2021,January,Monday,12
Kip Blowen,7/19/2015,7/19/2021,July,Monday,12
Moises Orrocks,11/30/2012,11/30/2021,November,Tuesday,17
Norbie Shoveller,12/18/2012,12/18/2021,December,Friday,51
Matty Piperley,6/14/2014,6/14/2021,June,Monday,11
Wileen Scamadine,2/15/2015,2/15/2021,February,Monday,13
Armstrong Batiste,4/15/2012,4/15/2021,April,Thursday,21
Daisey Blanning,11/27/2012,11/27/2021,November,Friday,38
Jammal Ouchterlony,2/24/2015,2/24/2021,February,Wednesday,12
Cynthea Whittier,11/4/2014,11/4/2021,November,Thursday,12
Templeton Reynard,12/19/2014,12/19/2021,December,Friday,51
Baron Sarre,12/30/2014,12/30/2021,December,Thursday,14
Rex Adds,12/26/2014,12/26/2021,December,Friday,51
Oberon Pollie,9/22/2011,9/22/2021,September,Wednesday,14
Dorita Messitt,3/17/2015,3/17/2021,March,Wednesday,19
Floria Kitlee,7/6/2012,7/6/2021,July,Tuesday,19
James Bartles,1/12/2012,1/12/2021,January,Tuesday,14
Jay Yashaev,1/31/2013,1/31/2021,January,Friday,41
Leshia Sanderson,9/27/2013,9/27/2021,September,Monday,12
Tiffy Glanz,6/15/2015,6/15/2021,June,Tuesday,15
Kizzie Dod,10/5/2014,10/5/2021,October,Tuesday,13
Madlen Lethardy,3/18/2014,3/18/2021,March,Thursday,11
Estella Brende,2/16/2014,2/16/2021,February,Tuesday,8
Grover Barstock,8/15/2013,8/15/2021,August,Friday,27
Amalee Marquiss,12/15/2011,12/15/2021,December,Wednesday,20
Megan Blyth,4/22/2012,4/22/2021,April,Thursday,21
Willette Fibbit,12/2/2013,12/2/2021,December,Thursday,14
Calida Dymond,8/11/2015,8/11/2021,August,Wednesday,10
Aharon Ricardin,3/2/2013,3/2/2021,March,Tuesday,6
Maurits Petyanin,12/25/2013,12/25/2021,December,Friday,51
Ermanno Polglaze,8/24/2013,8/24/2021,August,Tuesday,10
Ancell Borrel,4/24/2012,4/24/2021,April,Friday,44
Keven Latchford,9/5/2013,9/5/2021,September,Friday,29
Rona Hammill,10/25/2011,10/25/2021,October,Monday,9
Evita Sirett,3/13/2014,3/13/2021,March,Friday,28
Lorry Sarle,5/29/2015,5/29/2021,May,Friday,32
Kate Fannon,2/27/2014,2/27/2021,February,Friday,36
Paulina Vale,11/23/2014,11/23/2021,November,Tuesday,17
Earl Kelleway,11/6/2013,11/6/2021,November,Friday,38
Culver Daburn,5/11/2014,5/11/2021,May,Tuesday,8
Antonie Worcester,2/15/2015,2/15/2021,February,Monday,13
Magda Cullrford,2/4/2012,2/4/2021,February,Thursday,7
Jeremiah Diack,4/27/2012,4/27/2021,April,Tuesday,12
Lynett Dibdin,6/8/2012,6/8/2021,June,Tuesday,15
Trace Neenan,9/20/2011,9/20/2021,September,Monday,12
Miran Gowans,1/8/2015,1/8/2021,January,Friday,41
Orsa Orrey,7/30/2015,7/30/2021,July,Friday,46
Gillie Bermingham,6/23/2014,6/23/2021,June,Wednesday,12
Mikaela Madgwick,12/5/2012,12/5/2021,December,Friday,51
Maximo Greenin,4/7/2013,4/7/2021,April,Wednesday,11
Daron Fellis,5/11/2013,5/11/2021,May,Tuesday,8
Dorothea Haselwood,4/23/2014,4/23/2021,April,Friday,44
Pernell Howgego,11/25/2013,11/25/2021,November,Thursday,12
Jaimie Bebbell,3/22/2013,3/22/2021,March,Monday,13
Rici Dohms,4/9/2013,4/9/2021,April,Friday,44
Oralla Braffington,9/1/2011,9/1/2021,September,Wednesday,14
Elisa Whiteley,9/5/2014,9/5/2021,September,Friday,29
Emalia Kynson,5/15/2015,5/15/2021,May,Friday,32
Kakalina Standbrook,7/23/2012,7/23/2021,July,Friday,46
Billy Dionis,12/12/2013,12/12/2021,December,Friday,51
Kit Fishbourn,4/1/2014,4/1/2021,April,Thursday,21
Sayer Romain,4/11/2014,4/11/2021,April,Friday,44
Welby Dymott,4/15/2012,4/15/2021,April,Thursday,21
Darci Brozsset,12/31/2012,12/31/2021,December,Friday,51
Emelyne Pierro,8/14/2012,8/14/2021,August,Friday,27
Afton Ninotti,12/16/2013,12/16/2021,December,Thursday,14
Sofie Duinbleton,8/28/2015,8/28/2021,August,Friday,27
Franciskus Brittles,1/25/2013,1/25/2021,January,Monday,12
Darline Glandon,9/11/2013,9/11/2021,September,Friday,29
Adara Beringer,9/1/2011,9/1/2021,September,Wednesday,14
Maddie Kennard,4/15/2015,4/15/2021,April,Thursday,21
Bobbe Rangall,1/22/2015,1/22/2021,January,Friday,41
Osgood Darnborough,7/20/2013,7/20/2021,July,Tuesday,19
Cory Shackle,7/31/2012,7/31/2021,July,Friday,46
Denna Bulluck,10/20/2011,10/20/2021,October,Wednesday,14
Jocelin Slora,9/11/2012,9/11/2021,September,Friday,29
Woodman Cockman,12/9/2012,12/9/2021,December,Thursday,14
Wain Jime,12/20/2011,12/20/2021,December,Monday,8
Twila Bradmore,10/1/2014,10/1/2021,October,Friday,35
Marcus Lemery,11/26/2012,11/26/2021,November,Friday,38
Alia Whayman,7/6/2015,7/6/2021,July,Tuesday,19
Maximilien Shipcott,10/20/2014,10/20/2021,October,Wednesday,14
Robina Exroll,6/1/2015,6/1/2021,June,Tuesday,15
Walt De Ferraris,3/31/2012,3/31/2021,March,Wednesday,19
Alf Stiff,10/4/2014,10/4/2021,October,Monday,9
Vernon Yateman,2/12/2012,2/12/2021,February,Friday,36
Von Kearton,6/23/2015,6/23/2021,June,Wednesday,12
Dacie Hunnam,5/16/2014,5/16/2021,May,Friday,32
Silvie Lepere,2/24/2012,2/24/2021,February,Wednesday,12
Thorpe Trudgion,7/8/2015,7/8/2021,July,Thursday,14
Lucais Hyrons,11/11/2013,11/11/2021,November,Thursday,12
Matthieu Hoyer,9/4/2012,9/4/2021,September,Friday,29
Reine Djorvic,12/8/2013,12/8/2021,December,Wednesday,20
Saree Farquhar,3/28/2013,3/28/2021,March,Friday,28
Sallyann Tawse,7/10/2014,7/10/2021,July,Friday,46
Victor Stonham,1/25/2013,1/25/2021,January,Monday,12
Corella Thumnel,5/14/2015,5/14/2021,May,Friday,32
Andy Philipard,6/12/2015,6/12/2021,June,Friday,29
Idette Bande,5/4/2014,5/4/2021,May,Tuesday,8
Allyn Wheldon,12/21/2014,12/21/2021,December,Tuesday,9
Leslie Rontree,7/17/2013,7/17/2021,July,Friday,46
Bibbie Bortolomei,11/14/2012,11/14/2021,November,Friday,38
Bartolemo Cleave,2/12/2013,2/12/2021,February,Friday,36
Korry Leirmonth,2/10/2012,2/10/2021,February,Wednesday,12
Aridatha Bonicelli,11/3/2011,11/3/2021,November,Wednesday,13
Twila Grinley,12/3/2013,12/3/2021,December,Friday,51
Lettie Pennyman,7/19/2012,7/19/2021,July,Monday,12
Blake MacIlhargy,8/21/2014,8/21/2021,August,Friday,27
Daniele McCloy,7/11/2013,7/11/2021,July,Friday,46
Felizio Weinmann,11/29/2011,11/29/2021,November,Monday,12
Ilsa Tettley,9/11/2013,9/11/2021,September,Friday,29
Ardyce Meriton,7/23/2012,7/23/2021,July,Friday,46
Shandee Scard,11/21/2014,11/21/2021,November,Friday,38
Cristionna Hegden,7/3/2015,7/3/2021,July,Friday,46
Mignonne Dumsday,5/29/2015,5/29/2021,May,Friday,32
Raynell Behneke,12/24/2014,12/24/2021,December,Friday,51
Adina Gawthorpe,2/15/2013,2/15/2021,February,Monday,13
Sheff De Andreis,10/12/2013,10/12/2021,October,Tuesday,13
Mab Canepe,12/11/2011,12/11/2021,December,Friday,51
Dynah Petrillo,8/16/2013,8/16/2021,August,Monday,15
Leroi Crumpe,5/6/2012,5/6/2021,May,Thursday,6
Lynnett Gierardi,12/13/2013,12/13/2021,December,Monday,8
Winny Scoggans,3/29/2012,3/29/2021,March,Monday,13
Shirlene Palluschek,6/10/2012,6/10/2021,June,Thursday,10
Zarah Symington,1/1/2012,1/1/2021,January,Friday,41
Bernete Westoff,10/2/2014,10/2/2021,October,Friday,35
Marlowe Daniell,3/3/2014,3/3/2021,March,Wednesday,19
Berkly Stanett,3/27/2015,3/27/2021,March,Friday,28
Dominga Peat,2/15/2014,2/15/2021,February,Monday,13
Karlotte Vaudre,10/3/2011,10/3/2021,October,Friday,35
Carmelina Ashbridge,9/8/2012,9/8/2021,September,Wednesday,14
Ricardo Barmby,11/20/2014,11/20/2021,November,Friday,38
Alyson Lindsell,7/6/2012,7/6/2021,July,Tuesday,19
Valentine McPherson,3/4/2012,3/4/2021,March,Thursday,11
Analiese Bliven,11/7/2013,11/7/2021,November,Friday,38
Nathanial Matczak,8/27/2013,8/27/2021,August,Friday,27
Lanny Alyukin,11/10/2012,11/10/2021,November,Wednesday,13
Emmott Barnaby,11/5/2014,11/5/2021,November,Friday,38
Trudey Skarman,6/5/2014,6/5/2021,June,Friday,29
Daloris Skillicorn,12/9/2013,12/9/2021,December,Thursday,14
Ranna Eagland,8/29/2013,8/29/2021,August,Friday,27
Amitie McGairl,2/12/2015,2/12/2021,February,Friday,36
Karissa Dickon,12/3/2012,12/3/2021,December,Friday,51
Laural Hexum,9/6/2012,9/6/2021,September,Monday,12
Quinlan Franckton,12/26/2014,12/26/2021,December,Friday,51
Anissa Semerad,1/10/2013,1/10/2021,January,Friday,41
Aland Ashlee,7/13/2012,7/13/2021,July,Tuesday,19
Chickie Asch,12/12/2012,12/12/2021,December,Friday,51
Linda Haberjam,10/6/2011,10/6/2021,October,Wednesday,14
Ad Falco,7/17/2013,7/17/2021,July,Friday,46
Care Reihill,5/3/2013,5/3/2021,May,Monday,15
Odelia Bayston,12/19/2011,12/19/2021,December,Friday,51
Tedi Nekrews,3/3/2013,3/3/2021,March,Wednesday,19
Adore Rowan,4/30/2012,4/30/2021,April,Friday,44
Thorn Blencowe,2/19/2014,2/19/2021,February,Friday,36
Prudy Duetsche,8/1/2015,8/1/2021,August,Friday,27
Ariana Shearmer,4/20/2015,4/20/2021,April,Tuesday,12
Karoline Gash,6/6/2012,6/6/2021,June,Friday,29
Liam Sings,12/15/2012,12/15/2021,December,Wednesday,20
Denise Huckleby,10/1/2012,10/1/2021,October,Friday,35
Truda Welband,1/4/2014,1/4/2021,January,Monday,12
Kelcey Dragonette,6/23/2012,6/23/2021,June,Wednesday,12
Bridgette Hachard,5/21/2012,5/21/2021,May,Friday,32
Joy Brobeck,3/10/2013,3/10/2021,March,Wednesday,19
Kimbra Yuille,3/13/2013,3/13/2021,March,Friday,28
Harold Dunckley,1/17/2014,1/17/2021,January,Friday,41
Tabbie Edgar,10/2/2011,10/2/2021,October,Friday,35
Nataniel Capinetti,8/23/2012,8/23/2021,August,Monday,15
Aldus Lindro,10/21/2011,10/21/2021,October,Thursday,11
Shaylah Bottle,7/6/2014,7/6/2021,July,Tuesday,19
Pammie Maxweell,11/11/2013,11/11/2021,November,Thursday,12
Ericka Ebourne,2/28/2012,2/28/2021,February,Friday,36
Trstram Macci,4/16/2013,4/16/2021,April,Friday,44
Malory Jonk,4/10/2012,4/10/2021,April,Friday,44
Jammal Reubens,5/28/2012,5/28/2021,May,Friday,32
Ramsay Wither,6/14/2012,6/14/2021,June,Monday,11
Yoshiko Dies,3/11/2013,3/11/2021,March,Thursday,11
Nicky Rawes,2/13/2012,2/13/2021,February,Friday,36
Bourke Upson,10/10/2011,10/10/2021,October,Friday,35
Bernetta Barkaway,1/23/2013,1/23/2021,January,Friday,41
Cynthie Marthen,8/26/2014,8/26/2021,August,Thursday,9
Patricio Meakin,11/17/2012,11/17/2021,November,Wednesday,13
Ivonne World,10/6/2011,10/6/2021,October,Wednesday,14
Joey McJury,3/24/2012,3/24/2021,March,Wednesday,19
Tammie Alabone,12/8/2013,12/8/2021,December,Wednesday,20
Emmie Laba,4/7/2013,4/7/2021,April,Wednesday,11
